VentaID,LineaID,FechaVenta,ProductoID,TiendaID,ClienteID,CanalID,EmpleadoID,MetodoPagoID,Cantidad,PrecioUnitario,CostoUnitario
V00001,1,13/11/2025,P123,T009,C0436,CH02,E000,MP02,7,283.5,194.95
V00001,2,13/11/2025,P143,T009,C0436,CH02,E000,MP02,10,356.04,214.69
V00001,3,13/11/2025,P100,T009,C0436,CH02,E000,MP02,2,296.76,135.61
V00001,4,13/11/2025,P083,T009,C0436,CH02,E000,MP02,5,184.49,84.18
V00002,1,02/09/2023,P053,T009,C0304,CH03,E000,MP03,2,392.48,247.52
V00003,1,19/07/2024,P082,T001,C0658,CH01,E064,MP02,3,510.65,209.2
V00004,1,09/10/2025,P128,T009,C0562,CH03,E000,MP01,2,530.33,240.1
V00004,2,09/10/2025,P012,T005,C0801,CH03,E000,MP03,7,201.71,145.0
V00004,3,09/10/2025,P019,T001,C0973,CH03,E000,MP01,8,738.8,297.29
V00004,4,09/10/2025,P053,T010,C0141,CH03,E000,MP02,2,465.66,260.55
V00005,1,01/01/2024,P027,T013,C0579,CH03,E000,MP01,6,90.01,37.45
V00005,2,01/01/2024,P117,T009,C0141,CH03,E000,MP01,1,430.01,199.14
V00006,1,14/07/2025,P143,T001,C0738,CH03,E000,MP03,10,309.52,181.55
V00006,2,14/07/2025,P012,T001,C0865,CH03,E000,MP03,2,298.13,149.09
V00006,3,14/07/2025,P083,T010,C0708,CH03,E000,MP03,7,155.95,87.52
V00006,4,14/07/2025,P106,T010,C0940,CH03,E000,MP03,8,347.36,236.37
V00007,1,05/03/2023,P054,T005,C0938,CH03,E000,MP01,10,602.48,264.97
V00008,1,24/05/2024,P059,T013,C0002,CH01,E016,MP03,3,180.6,97.86
V00009,1,26/01/2024,P007,T013,C0436,CH03,E000,MP03,3,384.45,223.33
V00009,2,26/01/2024,P016,T009,C0184,CH03,E000,MP02,2,260.25,151.48
V00009,3,26/01/2024,P143,T005,C0658,CH03,E000,MP02,8,15.4,7.16
V00009,4,26/01/2024,P117,T013,C0041,CH03,E000,MP02,8,99.16,71.32
V00010,1,16/01/2026,P054,T009,C0708,CH01,E017,MP02,2,105.37,58.09
V00010,2,16/01/2026,P105,T021,C0658,CH01,E064,MP02,10,177.1,105.34
V00010,3,16/01/2026,P054,T009,C0988,CH01,E017,MP02,8,224.58,94.82
V00010,4,16/01/2026,P082,T005,C0708,CH01,E054,MP02,10,202.83,118.16
V00011,1,21/01/2024,P061,T013,C0940,CH03,E000,MP01,5,297.76,128.57
V00011,2,21/01/2024,P123,T001,C0781,CH03,E000,MP01,5,257.73,103.32
V00011,3,21/01/2024,P048,T010,C0973,CH03,E000,MP01,4,359.77,197.0
V00011,4,21/01/2024,P012,T021,C0494,CH03,E000,MP01,1,297.65,124.7
V00012,1,17/11/2024,P083,T001,C0395,CH01,E083,MP03,10,192.56,90.1
V00012,2,17/11/2024,P083,T001,C0882,CH01,E015,MP03,4,663.98,299.22
